Bệnh,"Tên bệnh lý, hội chứng bệnh hoặc tình trạng bệnh lý được chẩn đoán (Ví dụ: Tăng huyết áp, Đái tháo đường type 2, Hen phế quản, COPD, Suy tim,...)."
Triệu chứng,"Biểu hiện cơ năng, dấu hiệu thực thể hoặc cảm giác bất thường do người bệnh cảm nhận hoặc bác sĩ thăm khám (Ví dụ: Khó thở, khò khè, ho khan, khát nhiều, tiểu nhiều, đau thắt ngực,...)."
Xét nghiệm / Thăm dò,"Các phương pháp xét nghiệm cận lâm sàng, thăm dò chức năng hoặc kỹ thuật chẩn đoán hình ảnh (Ví dụ: Xét nghiệm HbA1c, Đo đường huyết đói, Đo hô hấp ký / thông khí phổi, Đo huyết áp, Chụp X-quang ngực, Điện tâm đồ ECG,...)."
Chỉ số lâm sàng,"Các chỉ số định lượng, khoảng giá trị hoặc ngưỡng đo lường lâm sàng (Ví dụ: >= 126 mg/dL, >= 140/90 mmHg, FEV1/FVC < 0.70, SpO2 95%, eGFR < 30 mL/phút,...)."
Thuốc / Nhóm thuốc,"Tên biệt dược, hoạt chất hoặc nhóm dược lý điều trị bệnh (Ví dụ: Metformin, Amlodipine, Captopril, Salbutamol, Budesonide, Insulin, Thuốc chẹn kênh canxi, Thuốc giãn phế quản LABA/LAMA,...)."
Liều dùng,"Liều lượng, hàm lượng, tần suất và cách dùng cụ thể của thuốc (Ví dụ: 500mg uống 2 lần/ngày, 5mg/ngày, xịt 2 nhát khi lên cơn khó thở, tiêm dưới da trước bữa ăn,...)."
Mục tiêu kiểm soát,"Mục tiêu lâm sàng, ngưỡng an toàn hoặc đích điều trị cần duy trì đạt được (Ví dụ: HbA1c < 7.0%, Huyết áp < 130/80 mmHg, Đường huyết đói 80-130 mg/dL, Giảm tần suất cơn hen,...)."
Yếu tố nguy cơ,"Yếu tố hành vi, môi trường, lối sống hoặc sinh học làm tăng khả năng mắc bệnh hoặc làm khởi phát đợt cấp (Ví dụ: Hút thuốc lá, ít vận động, ăn nhiều muối, béo phì, tiếp xúc khói bụi, dị nguyên,...)."
Thang điểm đánh giá,"Bảng điểm, công cụ phân tầng hoặc thang điểm chuẩn hóa dùng trong lượng giá và tiên lượng nguy cơ (Ví dụ: Thang điểm SCORE2, Bảng điểm FINDRISC, Thang điểm ACT, Thang điểm CAT, Thang điểm mMRC, Chỉ số BODE,...)."
Biến chứng,"Hậu quả xấu, tổn thương cơ quan đích hoặc biến cố cấp/mạn tính do bệnh lý tiến triển gây ra (Ví dụ: Đột quỵ não, Nhồi máu cơ tim, Bệnh võng mạc đái tháo đường, Suy thận mạn, Tâm phế mạn, Suy hô hấp cấp,...)."
