relation,definition
chứa,"Thực phẩm (subject) chứa dưỡng chất hoặc thành phần dinh dưỡng (object). Dùng khi hàm lượng ở mức bình thường."
giàu,"Thực phẩm (subject) là nguồn giàu dưỡng chất (object), hàm lượng cao hơn mức trung bình đáng kể."
thuộc nhóm,"Thực phẩm (subject) thuộc nhóm hoặc loại thực phẩm (object) theo phân loại dinh dưỡng học."
nhiều,"Thực phẩm (subject) có hàm lượng cao của chỉ số dinh dưỡng (object), vượt ngưỡng khuyến nghị."
ít,"Thực phẩm (subject) có hàm lượng thấp của chỉ số dinh dưỡng (object), thấp hơn mức trung bình."
ảnh hưởng đường huyết,"Thực phẩm (subject) ảnh hưởng đến mức đường huyết theo chiều hướng (object): tăng / tăng nhẹ / giảm."
làm trầm trọng,"Thực phẩm (subject) làm trầm trọng thêm hoặc tăng nguy cơ bệnh lý (object) khi tiêu thụ thường xuyên."
được khuyến nghị cho,"Thực phẩm (subject) được khuyến nghị hoặc có lợi cho người mắc bệnh (object)."
cần hạn chế ở,"Bệnh nhân mắc bệnh (object) cần hạn chế hoặc tránh sử dụng thực phẩm (subject)."
chống chỉ định với,"Thực phẩm (subject) chống chỉ định hoặc cần tránh hoàn toàn ở bệnh nhân mắc bệnh (object)."
phòng ngừa,"Thực phẩm hoặc dưỡng chất (subject) giúp phòng ngừa bệnh lý (object)."
hỗ trợ,"Dưỡng chất hoặc thực phẩm (subject) hỗ trợ chức năng hoặc quá trình sinh lý (object) trong cơ thể."
