relation,definition
CO_TRIEU_CHUNG,"Chỉ ra rằng bệnh lý (hoặc hội chứng lâm sàng) có biểu hiện, triệu chứng cơ năng hoặc dấu hiệu thực thể tương ứng ở người bệnh. (Ví dụ: Đái tháo đường CO_TRIEU_CHUNG Khát nhiều; Tăng huyết áp CO_TRIEU_CHUNG Đau đầu; Hen phế quản CO_TRIEU_CHUNG Khò khè)."
CHAN_DOAN_BANG,"Chỉ ra rằng bệnh lý được chẩn đoán, xác định hoặc theo dõi bằng xét nghiệm cận lâm sàng, kỹ thuật thăm dò chức năng hoặc hình ảnh học. (Ví dụ: Đái tháo đường CHAN_DOAN_BANG Xét nghiệm đường huyết đói; Hen phế quản CHAN_DOAN_BANG Đo chức năng thông khí phổi; Tăng huyết áp CHAN_DOAN_BANG Đo huyết áp bằng huyết áp kế)."
NGUONG_GIA_TRI,"Chỉ ra rằng xét nghiệm hoặc phương pháp thăm dò gắn liền với tiêu chuẩn, ngưỡng giá trị hoặc chỉ số lâm sàng cụ thể để chẩn đoán hoặc đánh giá. (Ví dụ: Xét nghiệm đường huyết đói NGUONG_GIA_TRI >= 126 mg/dL; Đo huyết áp NGUONG_GIA_TRI >= 140/90 mmHg; Đo FEV1/FVC NGUONG_GIA_TRI < 0.70)."
DIEU_TRI_BANG,"Chỉ ra rằng bệnh lý được kiểm soát hoặc điều trị bằng thuốc, nhóm thuốc hoặc liệu pháp dược lý chỉ định. (Ví dụ: Đái tháo đường type 2 DIEU_TRI_BANG Metformin; Tăng huyết áp DIEU_TRI_BANG Thuốc chẹn kênh canxi; Hen phế quản DIEU_TRI_BANG Thuốc giãn phế quản; COPD DIEU_TRI_BANG Thuốc LAMA)."
CO_LIEU_DUNG,"Chỉ ra rằng thuốc hoặc nhóm thuốc đi kèm thông tin liều lượng, hàm lượng, tần suất hoặc phác đồ sử dụng cụ thể. (Ví dụ: Metformin CO_LIEU_DUNG Khởi đầu 500mg/ngày; Amlodipine CO_LIEU_DUNG 5mg uống một lần mỗi ngày; Salbutamol CO_LIEU_DUNG Xịt 2 nhát khi khó thở)."
DAT_MUC_TIEU,"Chỉ ra rằng việc điều trị bệnh lý hướng đến việc đạt được mục tiêu kiểm soát lâm sàng hoặc ngưỡng giá trị an toàn. (Ví dụ: Đái tháo đường DAT_MUC_TIEU HbA1c < 7.0%; Tăng huyết áp DAT_MUC_TIEU Huyết áp < 130/80 mmHg; Hen phế quản DAT_MUC_TIEU Kiểm soát hoàn toàn triệu chứng)."
CHONG_CHI_DINH,"Chỉ ra rằng thuốc hoặc nhóm thuốc bị chống chỉ định (không được sử dụng) đối với bệnh lý hoặc tình trạng sức khỏe đặc biệt do nguy cơ gây hại. (Ví dụ: Metformin CHONG_CHI_DINH Suy thận nặng eGFR < 30; Thuốc chẹn beta không chọn lọc CHONG_CHI_DINH Hen phế quản; Thuốc ức chế men chuyển CHONG_CHI_DINH Phụ nữ có thai)."
CO_YEU_TO_NGUY_CO,"Chỉ ra rằng bệnh lý có các yếu tố làm gia tăng nguy cơ mắc bệnh hoặc thúc đẩy đợt cấp bùng phát. (Ví dụ: Đái tháo đường CO_YEU_TO_NGUY_CO Béo phì; Tăng huyết áp CO_YEU_TO_NGUY_CO Ăn nhiều muối; COPD CO_YEU_TO_NGUY_CO Hút thuốc lá; Hen phế quản CO_YEU_TO_NGUY_CO Dị nguyên môi trường)."
DANH_GIA_NGUY_CO_BANG,"Chỉ ra rằng bệnh lý sử dụng thang điểm lâm sàng, bảng điểm hoặc công cụ phân tầng nguy cơ để dự báo biến cố và phân độ nặng. (Ví dụ: Tăng huyết áp DANH_GIA_NGUY_CO_BANG Thang điểm SCORE2; Đái tháo đường DANH_GIA_NGUY_CO_BANG Thang điểm FINDRISC; Hen phế quản DANH_GIA_NGUY_CO_BANG Bảng điểm ACT; COPD DANH_GIA_NGUY_CO_BANG Thang điểm CAT / mMRC / BODE)."
DAN_DEN_BIEN_CHUNG,"Chỉ ra rằng bệnh lý tiến triển có thể dẫn đến các biến chứng cấp tính hoặc mạn tính nguy hiểm, gây tổn thương cơ quan đích. (Ví dụ: Tăng huyết áp DAN_DEN_BIEN_CHUNG Đột quỵ não; Đái tháo đường DAN_DEN_BIEN_CHUNG Bệnh võng mạc đái tháo đường; COPD DAN_DEN_BIEN_CHUNG Tâm phế mạn; Hen phế quản DAN_DEN_BIEN_CHUNG Suy hô hấp cấp)."
