relation,definition
làm trầm trọng,"Thực phẩm hoặc dưỡng chất (subject) làm xấu đi các triệu chứng hoặc thúc đẩy tiến triển bệnh (object)."
được khuyến nghị cho,"Thực phẩm hoặc dưỡng chất (subject) được khuyến nghị bởi chuyên gia y tế cho bệnh nhân mắc bệnh (object)."
cần hạn chế ở,"Dưỡng chất hoặc thực phẩm (subject) cần được giảm lượng tiêu thụ ở bệnh nhân mắc bệnh (object)."
chống chỉ định với,"Thực phẩm hoặc chất (subject) gây hại và cần tránh hoàn toàn ở bệnh nhân mắc bệnh (object)."
phòng ngừa,"Thực phẩm hoặc dưỡng chất (subject) giúp ngăn ngừa bệnh hoặc biến chứng (object) khi tiêu thụ đầy đủ."
hỗ trợ,"Thực phẩm hoặc dưỡng chất (subject) hỗ trợ kiểm soát hoặc cải thiện tình trạng (object) trong cơ thể."
ảnh hưởng đường huyết,"Thực phẩm (subject) ảnh hưởng đến mức đường huyết theo chiều hướng (object): tăng / tăng nhẹ / giảm."
giàu,"Thực phẩm (subject) là nguồn giàu dưỡng chất (object), hàm lượng cao hơn mức trung bình đáng kể."
ít,"Thực phẩm (subject) có hàm lượng thấp của chỉ số dinh dưỡng (object)."
thiếu hụt gây ra,"Tình trạng thiếu hụt dưỡng chất (subject) gây ra hoặc dẫn đến bệnh hoặc tình trạng sức khỏe (object)."
tương tác với,"Dưỡng chất hoặc thuốc (subject) tương tác — tăng cường hoặc cản trở hấp thu/chuyển hóa — với chất (object)."
là yếu tố nguy cơ của,"Thói quen ăn uống hoặc dưỡng chất (subject) làm tăng đáng kể nguy cơ mắc bệnh (object)."
