['nguyên tắc dinh dưỡng', 'hỗ trợ', 'đảm bảo dinh dưỡng']
['nguyên tắc dinh dưỡng', 'hỗ trợ', 'kiểm soát đường huyết']
['ăn uống vừa đủ', 'được khuyến nghị cho', 'tiểu đường']
['nước', 'được khuyến nghị cho', 'tiểu đường']
['đa dạng thực phẩm', 'hỗ trợ', 'nhu cầu dinh dưỡng']
['đa dạng thực phẩm', 'được khuyến nghị cho', 'tiểu đường']
['thịt nạc', 'hỗ trợ', 'kiểm soát đường huyết']
['thịt nạc', 'giàu', 'đạm']
['quả hạch', 'chống chỉ định với', 'tiểu đường']
['đậu', 'chống chỉ định với', 'tiểu đường']
['đậu phụ', 'chống chỉ định với', 'tiểu đường']
['thịt gà tây', 'được khuyến nghị cho', 'tiểu đường']
['thịt gà ta không da', 'được khuyến nghị cho', 'tiểu đường']
['cá trích', 'được khuyến nghị cho', 'tiểu đường']
['cà hồi', 'được khuyến nghị cho', 'tiểu đường']
['sữa chua', 'được khuyến nghị cho', 'tiểu đường']
['đậu', 'được khuyến nghị cho', 'tiểu đường']
['hạt óc chó', 'được khuyến nghị cho', 'tiểu đường']
['hạnh nhân', 'được khuyến nghị cho', 'tiểu đường']
['trứng', 'được khuyến nghị cho', 'tiểu đường']
['đậu phụ', 'được khuyến nghị cho', 'tiểu đường']
['món ăn nhanh', 'cần hạn chế ở', 'tiểu đường']
['giăm bông', 'cần hạn chế ở', 'tiểu đường']
['xúc xích', 'cần hạn chế ở', 'tiểu đường']
['thịt nguội', 'cần hạn chế ở', 'tiểu đường']
['bò nướng', 'cần hạn chế ở', 'tiểu đường']
['hotdog', 'cần hạn chế ở', 'tiểu đường']
['gà tây nướng', 'cần hạn chế ở', 'tiểu đường']
['lạp xưởng', 'cần hạn chế ở', 'tiểu đường']
['thịt bò khô', 'cần hạn chế ở', 'tiểu đường']
['thịt heo xông khói', 'cần hạn chế ở', 'tiểu đường']
['hạt tẩm gia vị', 'cần hạn chế ở', 'tiểu đường']
['thức uống ngọt', 'cần hạn chế ở', 'tiểu đường']
['ngũ cốc', 'được khuyến nghị cho', 'tiểu đường']
['gạo hữu cơ', 'được khuyến nghị cho', 'tiểu đường']
['gạo lứt', 'được khuyến nghị cho', 'tiểu đường']
['bánh mì', 'cần hạn chế ở', 'tiểu đường']
['mì từ ngũ cốc nguyên hạt', 'được khuyến nghị cho', 'tiểu đường']
['chất xơ', 'được khuyến nghị cho', 'tiểu đường']
['vitamin', 'được khuyến nghị cho', 'tiểu đường']
['khoáng chất', 'được khuyến nghị cho', 'tiểu đường']
['bánh ngọt', 'cần hạn chế ở', 'tiểu đường']
['gạo trắng', 'cần hạn chế ở', 'tiểu đường']
['mỳ', 'cần hạn chế ở', 'tiểu đường']
['nui', 'cần hạn chế ở', 'tiểu đường']
['ngũ cốc ăn sáng có đường', 'cần hạn chế ở', 'tiểu đường']
['sữa', 'cần hạn chế ở', 'tiểu đường']
['sữa', 'chống chỉ định với', 'béo phì']
['sữa', 'là yếu tố nguy cơ của', 'nguy cơ biến chứng tiểu đường']
['sữa tách béo', 'được khuyến nghị cho', 'tiểu đường']
['sữa chua tách béo không đường', 'được khuyến nghị cho', 'tiểu đường']
['phô mai tách béo', 'được khuyến nghị cho', 'tiểu đường']
['sữa chua uống lên men tách béo', 'được khuyến nghị cho', 'tiểu đường']
['sữa chua uống nguyên béo có đường', 'cần hạn chế ở', 'tiểu đường']
['sữa nguyên béo', 'cần hạn chế ở', 'tiểu đường']
['sô cô la trắng', 'cần hạn chế ở', 'tiểu đường']
['bánh kẹo', 'cần hạn chế ở', 'tiểu đường']
['phô mai từ sữa', 'cần hạn chế ở', 'tiểu đường']
['rau củ', 'giàu', 'chất xơ']
['rau củ', 'hỗ trợ', 'vitamin']
['rau củ', 'được khuyến nghị cho', 'khoáng chất']
['rau củ', 'được khuyến nghị cho', 'tiểu đường']
['rau không có tinh bột', 'được khuyến nghị cho', 'tiểu đường']
['trái cây chứa ít tinh bột đường', 'cần hạn chế ở', 'tiểu đường']
['trái cây chứa ít tinh bột đường', 'được khuyến nghị cho', 'tiểu đường']
['trái cây sấy khô', 'chống chỉ định với', 'tiểu đường']
['trái cây đóng hộp', 'chống chỉ định với', 'tiểu đường']
['siro trái cây', 'chống chỉ định với', 'tiểu đường']
['sinh tố thêm đường', 'chống chỉ định với', 'tiểu đường']
['đường', 'cần hạn chế ở', 'tiểu đường']
['chất béo', 'cần hạn chế ở', 'tiểu đường']
